node,degree_centrality,betweenness_centrality,closeness_centrality,clustering_coefficient,degree_centrality_600,betweenness_centrality_600,closeness_centrality_600,clustering_coefficient_600,degree_centrality_850,betweenness_centrality_850,closeness_centrality_850,clustering_coefficient_850
Q9Y2N7,0.02228833907506,1.953900903093734e-05,0.0029583112517742,0.1243086936922078,0.002348888192922,9.865462707182627e-06,0.0004669899146153,0.5676767676767677,0.0007307652155757,2.296221324309524e-06,0.000193468982159,0.3406593406593406
Q9UJT2,0.0085603925253157,2.934581072575572e-06,0.0025670204995841,0.123821636989376,0.0004697776385844,8.184379159871623e-05,0.0003948511364547,0.0,5.219751539826704e-05,0.0,5.985953600718697e-08,0.0
O14983,0.0591919824616348,0.0001188981260632,0.0031168242947652,0.1584048218352425,0.0027664683161081,8.387368127635947e-05,0.0004475696378618,0.1618287373004354,0.0006785677001774,7.864746296790302e-05,0.0001821063308193,0.0641025641025641
Q9NQ75,0.0135713540035494,8.195815959538135e-06,0.0027304511144781,0.1138996138996139,0.0012527403695584,6.702441331762393e-06,0.0004230633352514,0.4927536231884058,0.0,0.0,0.0,0.0
Q9C091,0.0120054285416014,2.2697386076908432e-05,0.0027215959877555,0.0766660337953294,0.000208790061593,4.514837690467713e-06,0.0003510577234416,0.0,0.0,0.0,0.0,0.0
Q86UD3,0.0342937676166614,5.075350175841882e-05,0.0029735371029385,0.2013401640865723,0.0006785677001774,0.0002312807390544,0.0004084774512406,0.2051282051282051,0.0,0.0,0.0,0.0
Q9NUX5,0.0259421651529387,3.1750629113003614e-05,0.0027418743812785,0.1780765236580775,0.005480739116818,3.63878725642213e-05,0.0004676831503747,0.3965201465201465,0.0013049378849566,1.858630173941048e-05,0.0001889035201803,0.54
Q9Y5F7,0.0245328322371855,2.086398530196537e-05,0.0029678853979201,0.4296783559406614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q15822,0.0258899676375404,3.691471053806978e-05,0.0029238779858604,0.2081867057673509,0.0012527403695584,4.065088298827267e-05,0.0004003551884538,0.3115942028985507,0.0003131850923896,0.0,3.650973754632886e-07,1.0
Q96B18,0.0153982670424887,5.373526698921371e-06,0.0027959548409072,0.1375994465582843,0.0004697776385844,1.932935623042256e-05,0.0004355020905022,0.1388888888888889,5.219751539826704e-05,0.0,6.07654428384948e-08,0.0
O60282,0.1029335003653826,0.000230103030703,0.0032108937758639,0.1733574970953058,0.0027664683161081,8.208537852656667e-05,0.0004562238207653,0.1865021770682148,0.0010961478233636,6.245086064468322e-05,0.0001915905903105,0.2047619047619047
Q5HYW2,0.0082472074329261,1.804201993752484e-07,0.0025994290428326,0.1684269934693219,0.0003131850923896,6.495889638865148e-06,0.0003660334767457,0.1333333333333333,0.0,0.0,0.0,0.0
Q6UXK5,0.0394613216410898,8.919074451716204e-05,0.0030716158835152,0.1444164126283331,0.0003131850923896,4.675494048771271e-06,0.0003718287112349,0.0666666666666666,0.0,0.0,0.0,0.0
Q9NUG6,0.016233427288861,1.096434696086814e-05,0.0027742994850356,0.1291567264806555,0.0010961478233636,5.2846215812688096e-05,0.000418579493254,0.3714285714285714,0.0004697776385844,1.8905949626840584e-06,0.000178870649722,0.6944444444444444
Q14511,0.0372168284789644,3.306767627961181e-05,0.0029939062334446,0.1766432387285878,0.001565925461948,5.566938969235418e-05,0.0004485969463112,0.2206896551724138,0.0006785677001774,3.553916993660972e-05,0.0002015564690306,0.3076923076923077
Q9H4G1,0.0031840484392942,2.572617071501918e-06,0.002295577054007,0.1885245901639344,0.0002609875769913,2.2330600453489666e-07,0.0003547016217382,0.6,0.0,0.0,0.0,0.0
Q9HB21,0.0172773775968263,1.1214456943419415e-05,0.0027912693500617,0.11128810766273,0.0006785677001774,1.2384873870515975e-05,0.00038642390226,0.1538461538461538,5.219751539826704e-05,0.0,0.0001576640130847,0.0
P05198,0.1017329575112224,9.678079168044026e-05,0.0031186660743404,0.2413278857266876,0.0122142186031944,0.0002949247537465,0.0005098767200289,0.2937162980081435,0.0061071093015972,0.0005326883211999,0.000216054404832,0.4006778661951076
O43615,0.0578348470612798,0.0001489815359848,0.0030406328731806,0.1796754489807232,0.0039670111702682,0.0002212640850306,0.0004592498386071,0.2571929824561403,0.0013571354003549,5.361223712474604e-05,0.000187882642323,0.4707692307692308
Q15784,0.0324146570623238,3.154848191263026e-05,0.0029661939356367,0.2786816269284712,0.0003653826077878,3.7663174540550464e-06,0.0003921891811777,0.3333333333333333,5.219751539826704e-05,0.0,0.0001373339794392,0.0
Q8TAA5,0.0443678880885269,3.446792832895744e-05,0.0029225804502891,0.258321901198642,0.0030274558930994,6.73928634402095e-05,0.0004378961579569,0.1990320629159104,0.0005741726693809,5.02720078521384e-06,0.0001688028794266,0.5818181818181818
P57105,0.0238020670216097,4.574888155722926e-05,0.002976950774492,0.1337863890495469,0.000782962730974,6.499045105942325e-05,0.0004057387501469,0.0761904761904762,5.219751539826704e-05,0.0,0.0001292071579594,0.0
O15535,0.0056373316630128,9.698245259127576e-06,0.0026753934188505,0.2135687088958117,0.0001565925461948,4.17179698797139e-07,0.0003086612058549,0.0,0.0,0.0,0.0,0.0
Q15057,0.0435849253575529,4.668627518988922e-05,0.0030661488239307,0.1765878315311822,0.0006785677001774,7.794851469957913e-06,0.0004044556501939,0.1538461538461538,0.0001043950307965,1.0881030589914937e-06,0.0001655362754518,0.0
P35321,0.0176949577200125,3.7839786596535664e-05,0.0027806306246157,0.1551028957427868,0.002348888192922,0.0001070209080939,0.0003919073764401,0.7292929292929293,0.0006785677001774,8.170119965813674e-08,0.0001304578328547,0.6025641025641025
Q9NXB0,0.0173817726276229,1.8222866644545183e-05,0.0027042813694803,0.2455407214443359,0.0026098757699133,3.020948720433493e-05,0.0004176011928441,0.4146938775510204,0.0009395552771688,0.0001107372072221,0.0001755981030144,0.5686274509803921
Q9UBV7,0.0203570310053241,2.45928245206217e-05,0.0027651230204068,0.1377496539450267,0.0021400981313289,4.336148154534507e-05,0.0004119104564416,0.3768292682926829,0.0012005428541601,2.650893445884625e-07,0.0001801102299462,0.7075098814229249
Q6B0B8,0.0059505167554024,3.151047349283671e-07,0.0026271784476471,0.1505977332712312,0.0005741726693809,6.104516433870564e-06,0.0003807158999598,0.3636363636363636,0.0,0.0,0.0,0.0
O95628,0.0426453700803841,3.455633434683406e-05,0.0029566215559903,0.223657210742314,0.0031840484392942,0.0001854621833815,0.0004539848031726,0.2087431693989071,0.0013049378849566,2.0453033725219305e-05,0.0001862683915006,0.6
Q9BWW7,0.059818352646414,0.0001331823338025,0.0030362933574782,0.2886744857754711,0.0006263701847792,6.214966013043156e-05,0.0003890149077594,0.106060606060606,0.0,0.0,0.0,0.0
Q5JT82,0.0194696732435536,5.256108221393709e-06,0.0029425999478693,0.2951944420421459,0.0003131850923896,3.05990006305053e-05,0.0003760540962257,0.0666666666666666,0.0,0.0,0.0,0.0
Q96SJ8,0.0106482931412464,6.800361438985806e-07,0.0027292635518662,0.1039795228436202,5.219751539826704e-05,0.0,0.0003094375148397,0.0,0.0,0.0,0.0,0.0
Q96T91,0.011535650903017,1.3126400089086392e-05,0.002704295493476,0.1020567667626491,0.0006785677001774,1.0591438834037104e-05,0.0004020354948192,0.2564102564102564,0.0001043950307965,3.580412772019064e-05,8.906771736322639e-05,0.0
Q8TAV3,0.0128927863033719,8.635113655831816e-06,0.0027696409875639,0.2454494585431684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P17097,0.0081428124021296,7.327443676770488e-07,0.0027342705229424,0.2289495450785773,0.0001565925461948,1.2308335668330964e-07,0.0003909679505149,0.3333333333333333,0.0,0.0,0.0,0.0
O95926,0.03674705084038,5.561650278602812e-05,0.0028698255919595,0.2347972972972972,0.004697776385844,5.088049417999163e-05,0.000435185089832,0.5433208489388265,0.0022966906775237,7.037600752872237e-05,0.0001815715499188,0.7484143763213531
