node,degree_centrality
Q9Y2N7,0.02228833907506003
Q9UJT2,0.008560392525315794
O14983,0.059191982461634825
Q9NQ75,0.01357135400354943
Q9C091,0.01200542854160142
Q86UD3,0.03429376761666145
Q9NUX5,0.02594216515293872
Q9Y5F7,0.02453283223718551
Q15822,0.025889967637540454
Q96B18,0.015398267042488777
O60282,0.10293350036538261
Q5HYW2,0.008247207432926193
Q6UXK5,0.03946132164108988
Q9NUG6,0.01623342728886105
Q14511,0.0372168284789644
Q9H4G1,0.0031840484392942894
Q9HB21,0.01727737759682639
P05198,0.10173295751122247
O43615,0.057834847061279886
Q15784,0.03241465706232383
Q8TAA5,0.044367888088526986
P57105,0.023802067021609773
O15535,0.005637331663012841
Q15057,0.04358492535755298
P35321,0.017694957720012526
Q9NXB0,0.017381772627622926
Q9UBV7,0.020357031005324145
Q6B0B8,0.005950516755402443
O95628,0.04264537008038417
Q9BWW7,0.05981835264641403
Q5JT82,0.019469673243553608
Q96SJ8,0.010648293141246476
Q96T91,0.011535650903017017
Q8TAV3,0.01289278630337196
P17097,0.008142812402129659
O95926,0.03674705084038
Q6PJQ5,0.025994362668336986
Q9P2H5,0.028186658315064204
ENSP00000482816,0.021244388767094686
Q96M34,0.006785677001774715
Q5MNV8,0.017747155235410796
O60930,0.042018999895604967
Q15063,0.06535128927863033
Q8N474,0.059244179977033094
Q8TDV0,0.015189476980895709
P08648,0.05339805825242718
Q8NAV1,0.03445036016285625
Q6P1L8,0.024063054598601107
Q9BUW7,0.0048543689320388345
Q9BYP7,0.016285624804259317
Q8N6T0,0.005428541601419773
Q66K89,0.02521139993736298
Q9UJC3,0.022444931621254827
O60941,0.021087796220899884
P41208,0.07787869297421443
Q9BUN8,0.037373421025159205
Q14764,0.025837770122142185
Q96MC4,0.0057417266938093745
Q9GZU2,0.03105752166196889
P0DJJ0,0.030587744023384485
Q8N4L8,0.011379058356822215
Q8IXB3,0.014615304311514771
O15303,0.02980478129241048
Q9UNX4,0.05475519365278213
Q9H0L4,0.06582106691721475
Q96S86,0.017538365173817728
Q9NP85,0.04494206075790792
B5ME19,0.04060966697985176
Q5TA82,0.006942269547969517
Q8NGX2,0.0039670111702682954
Q9UHV9,0.05887879736924522
Q8N7B1,0.029230608623029543
O75155,0.02662073285311619
Q9H4A4,0.027769078191878068
Q86YQ8,0.018686710512579603
Q7Z7F7,0.027612485645683266
O43674,0.036381668232592125
Q14684,0.061488673139158574
D3DTV9,0.002453283223718551
Q13255,0.07010126317987264
A8MT33,0.00511535650903017
P06731,0.03398058252427184
Q86TY3,0.003758221108675227
Q14520,0.03538991544002505
Q6PEY1,0.010178515502662073
P19320,0.0874308382920973
Q14153,0.014458711765319971
Q9C0C9,0.05245850297525838
Q4KMZ8,0.019052093120367472
O00506,0.04175801231861363
Q9Y587,0.02202735149806869
P48549,0.03131850923896023
Q8N3X6,0.02698611546090406
Q9BTY2,0.019417475728155338
Q8NGI4,0.0039148136548700285
F5GYI3,0.002505480739116818
Q8TCB7,0.022862511744440966
Q96J66,0.01837352542019
Q9BQB4,0.026881720430107527
P53673,0.01111807077983088
Q63HM1,0.020879006159306816
Q9NP74,0.020879006159306816
P0DJD7,0.01993945088213801
Q16600,0.011274663326025681
O00330,0.06456832654765633
P11836,0.030639941538782755
Q7Z5L3,0.0327800396701117
Q96C92,0.01430211921912517
Q12965,0.07521661968890281
Q5I0G3,0.04008769182586909
C9JN71,0.003862616139471761
A8MVW0,0.014510909280718238
Q96LW9,0.009708737864077669
Q9BXM0,0.013153773880363295
Q68DK2,0.02228833907506003
Q9H340,0.0028186658315064203
TPRXL,0.00741204718655392
P13796,0.08356822215262553
Q6P9B9,0.019887253366739743
P21731,0.0231234993214323
P45954,0.03930472909489508
P61925,0.013988934126735568
A1KXE4,0.004802171416640568
ENSP00000461324,0.072711138949786
Q86XZ4,0.012266416118592754
Q06520,0.02432404217559244
Q9Y678,0.055329366322163065
Q9ULL4,0.03930472909489508
P30566,0.06723039983296795
Q8NF91,0.08889236872324877
Q8WWW8,0.009708737864077669
Q7L4S7,0.006368096878588579
Q8N4B1,0.013884539095939034
Q53ET0,0.01926088318196054
P19397,0.035703100532414656
P05305,0.07803528552040923
P07900,0.22883390750600272
P33981,0.06816995511013675
Q9NRV9,0.010335108048856874
Q15818,0.04076625952604656
P47897,0.07140620106482931
P48723,0.0974005637331663
Q92598,0.0981835264641403
Q9UJW9,0.010021922956467273
Q5TGL8,0.009499947802484601
P12319,0.036590458294185196
Q86XI2,0.03993109927967429
Q8NEK8,0.023697671990813237
Q9NWQ8,0.022183944044263493
Q96D71,0.015607057104081846
ST20,0.008195009917527925
Q8TB52,0.0034450360162856246
P49720,0.07934022340536591
Q96HR9,0.02823885583046247
Q96GD3,0.028291053345860736
Q8NC51,0.0753732122350976
O15488,0.023906462052406305
Q8WXD0,0.041027247103037894
Q5GH72,0.02385426453700804
B3SHH9,0.004071406201064829
Q9Y3C4,0.03465915022444931
Q8WUY8,0.008247207432926193
P43378,0.031214114208163692
Q96K12,0.02067021609771375
Q96T55,0.01644221735045412
P16619,0.02223614155966176
Q96AQ1,0.002662073285311619
Q8IXF0,0.03356300240108571
O95486,0.04389811044994258
P09496,0.049013466958972754
Q9Y227,0.015450464557887044
Q9NUQ7,0.012266416118592754
Q32P28,0.021453178828687754
ENSP00000399696,0.018582315481783067
P33527,0.049848627205345025
Q9H7H0,0.023436684413821903
Q9H6R3,0.029909176323207016
Q96MU6,0.009656540348679403
O14681,0.013519156488151165
P51452,0.04723875143543167
Q13492,0.051362355151894766
A8MZ26,0.03283223718550997
O14798,0.01341476145735463
PRSS45,0.01075268817204301
Q96DU7,0.01680759995824199
P24666,0.038887148971708946
Q86VF5,0.011848835995406619
Q9NRF9,0.0424365800187911
Q9NRX2,0.06884852281031423
Q96B67,0.027821275707276334
Q96QZ0,0.012057626056999686
Q8NGN0,0.0031318509238960224
O14843,0.015659254619480114
Q9Y6N6,0.03298882973170477
Q16627,0.015972439711869714
C2orf27B,0.0010439503079653408
Q96QA5,0.021139993736298154
Q9HB29,0.011065873264432613
Q9BXW9,0.05240630545986011
Q969G3,0.04238438250339284
Q6IWH7,0.017538365173817728
Q96C00,0.013466958972752897
P21128,0.011744440964610085
Q9Y2K7,0.07297212652677733
Q32M78,0.0065768869401816475
B4DDR5,0.014145526672930368
O75751,0.03283223718550997
P46199,0.07036225075686398
P35250,0.07526881720430108
Q9Y6J8,0.036642655809583466
LY6L,0.0020879006159306816
A0A087WVF3,0.029021818561436475
A0PJX2,0.009969725441069005
Q96MY7,0.006054911786198977
Q5T280,0.0321536694853325
Q5JXM2,0.002662073285311619
Q13183,0.02667293036851446
Q8WVB3,0.009134565194696732
Q8IZP7,0.02662073285311619
A6NJJ6,0.0018269130389393464
Q5W0N0,0.0008351602463722727
Q9ULS6,0.04384591293454432
Q05DH4,0.009656540348679403
P50443,0.032519052093120365
P04626,0.16353481574277065
Q969D9,0.03382398997807704
P43026,0.03523332289383025
Q69YN2,0.021087796220899884
Q9NRW3,0.01779935275080906
Q5VWQ0,0.01696419250443679
Q96HD1,0.018060340327800396
Q67FW5,0.02667293036851446
Q96B45,0.010335108048856874
P40938,0.07960121098235724
Q8NGN5,0.003810418624073494
Q6T311,0.05047499739012423
Q5VWT5,0.006733479486376448
Q8WXD9,0.05913978494623656
P55199,0.028499843407453804
Q9NQW5,0.012214218603194488
Q16445,0.06195845077774298
Q9BUL5,0.030065768869401818
Q02388,0.03580749556321119
Q9BYH8,0.05151894769808957
Q86XR7,0.011326860841423949
Q13601,0.050683787451717296
Q3LI66,0.008612590040714062
P02763,0.02437623969099071
Q53H12,0.036381668232592125
P23470,0.05981835264641403
P30520,0.05861780979225389
O43448,0.029387201169224345
Q96HH9,0.014249921703726902
Q8NHW4,0.025367992483557783
Q75V66,0.018216932873995197
O75293,0.040453074433656956
Q7KZF4,0.05773045203048335
Q9Y2W6,0.019104290635765738
Q9Y3D6,0.04562062845808539
Q9H3H1,0.04953544211295542
Q92538,0.05000521975153983
P23510,0.029909176323207016
P18124,0.08586491283014928
Q8IZ41,0.06201064829314125
Q13277,0.03914813654870028
ENSP00000450730,0.019417475728155338
P08621,0.09896648919511432
Q9Y225,0.026516337822319658
P41279,0.051414552667293036
P25800,0.0329366322163065
Q15633,0.023332289383025367
Q8IWR0,0.019156488151164004
Q3MJ13,0.0278734732226746
CLLU1OS,0.0019835055851341477
P07766,0.04269756759578244
Q8N5M1,0.03298882973170477
Q03923,0.011379058356822215
Q9UKX7,0.03836517381772628
Q16881,0.12078505063158994
O75711,0.01837352542019
Q96K83,0.033406409854890906
Q9Y2T4,0.07224136131120158
Q765I0,0.009760935379475937
P00740,0.029543793715419146
Q9UPY5,0.04781292410481261
P17676,0.09134565194696732
Q5EG05,0.030639941538782755
P0DJD1,0.026516337822319658
P84077,0.10731809165883704
P80303,0.028447645892055538
B4DNW6,0.05251070049065665
P41161,0.03951351915648815
Q1W4C9,0.01179663848000835
Q6UWW9,0.0057417266938093745
Q8NGF0,0.0027142708007098864
Q5H913,0.02030483348992588
P60983,0.02662073285311619
Q9H221,0.04781292410481261
O15205,0.12031527299300553
Q96LB9,0.010648293141246476
Q9Y2W3,0.035076730347635456
Q01081,0.03972230921808122
Q3LI72,0.009395552771688067
P29973,0.03157949681595156
P21953,0.04776072658941434
P31150,0.055381563837561334
Q9H336,0.01659880989664892
Q9BW60,0.026725127883912726
