node,biogrid_closeness_centrality,string_closeness_centrality,intact_closeness_centrality
Q8N8J7,0.2976322761809074,0.0023822989147222,0.6903727045056463
Q8IWA0,0.3039503364375663,0.0029048575015617,0.7474149535289609
Q3SXM5,0.2885986138999132,0.0028573874607254,0.7900555814327842
Q9BWJ5,0.5433089724108193,0.0030095304940779,0.8079203576524536
Q9H6T3,0.552715425017839,0.0031115429179509,0.8966090554861104
Q8N3P4,0.2725086720748933,0.002987067578389,0.7746971220434443
Q96IF1,0.3048361719303919,0.0030145165066729,0.6964888729392299
Q8N350,0.5759887044157328,0.0025548213752054,0.815424090966359
Q9NQC3,0.5495507899700945,0.0030936520062958,0.8772655281885067
O95644,0.2913573594716706,0.0030146972391397,0.7665944262229076
Q14766,0.2704543042362857,0.003043149728272,0.7414026549682874
P41218,0.3026668336486379,0.0029018545179972,0.775461775225677
Q5VV41,0.2984540377530748,0.0030764363889207,0.7728972695649252
Q9NUY8,0.5311506868750071,0.0027491758069084,0.7476191048875472
P09486,0.2857265039433844,0.0030740624735243,0.7228405085628894
Q9NPJ6,0.5385894771335662,0.0030563057084222,0.9174791549965382
Q969U6,0.297541509975789,0.0027011235929709,0.719405402100027
Q9UBT7,0.5904245065636794,0.0030744245684363,0.8261328744978683
O15392,0.2814953480415179,0.0031521611258141,0.7578862080653328
Q14186,0.2719235497200711,0.003006180416958,0.8019326138193434
Q86Y13,0.2658493683482666,0.0029365519013092,0.8037126184844228
Q9Y450,0.5018135301598203,0.0031366772996283,0.8812395102658367
Q5JTW2,0.2928436616631052,0.0027087710566723,0.7455738610473353
Q9HBH7,0.2986983555658722,0.0030267683678533,0.7141847601538988
O43768,0.4922752275330848,0.0028907036972881,0.8144635258825879
Q9NRM6,0.3096296045890486,0.0027324376201806,0.6982749573980945
O14733,0.5523063277154411,0.0031592929766829,0.795426028132393
O75351,0.5309038339088115,0.0030406222562502,0.8314818424408599
Q96C01,0.2998024375741548,0.0029183755137966,0.7875956106817245
P18615,0.5426497785815503,0.0029094653299345,0.8199836612370157
O75973,0.2758004230510448,0.0028520960851787,0.6882906728376061
P52790,0.2627505434222833,0.0030724636658478,0.7281212418014898
Q6UWE0,0.3004842592952939,0.0030719434138979,0.8358086780496119
P47756,0.603817008593687,0.0030458116592042,0.8673947346723666
P62820,0.6034014063911153,0.0030724804193122,0.8890407501807197
Q9H2F3,0.0995307918130882,0.0029622386471484,0.6591339749902337
P62495,0.6039017709022713,0.0030808112320478,0.8522494015161152
Q15555,0.5834558870247375,0.0031111664698166,0.850750211096824
Q96SN8,0.3044669025885932,0.0029904381839526,0.8398056494429442
Q6EMB2,0.2877523724804159,0.0028920101840784,0.7857778435878051
Q9NZN4,0.5336913806306485,0.0030009022443327,0.7364576945090561
Q9HCH3,0.3132598369280113,0.0029360069110641,0.727711520304356
Q96B02,0.1892118103813803,0.0030036795780361,0.7318155761711308
O14617,0.6040636645776595,0.0030778187875148,0.8945913346885058
A6ZKI3,0.218359318022945,0.0025890725138964,0.7035109734368058
Q8WZA1,0.5102758779260375,0.0028056735000344,0.7388064481103928
Q8TEX9,0.5553112329440976,0.0030838214145787,0.8924079588538313
P16989,0.5538580782872642,0.0030503877629104,0.8587670180356077
P35613,0.6027676771952373,0.003042763066466,0.8942445859433572
O60637,0.3032959188232302,0.0028766443893647,0.7280903491713946
P01568,0.3063348209250739,0.0025261052633522,0.6917651264971707
P51674,0.2969141962036198,0.0030543493389337,0.7225067671335511
P01040,0.5118552435462129,0.0029565421635968,0.8783340727850918
Q9BZV1,0.3141161182491557,0.0028140518101045,0.7007402476331578
P61457,0.4499913138167532,0.0029212845112757,0.7915587271145138
Q9UMF0,0.2759214349070167,0.0029150415566121,0.7763281570311147
Q14789,0.6037444191070456,0.0029624466054487,0.9029392142768652
Q99569,0.5899283816510364,0.0030527524807,0.8502562279894019
Q9NU22,0.5904865243568496,0.0029803148013901,0.9013203837733598
Q6ZRI6,0.3029390977472154,0.0024128603263948,0.7899158350827109
O60711,0.3062626915366599,0.0030675779840193,0.7554708265661554
O15379,0.3099770372805454,0.0031554272756201,0.8515034189886455
Q9HCM4,0.5832055322079112,0.0029170695312559,0.8844816935804536
Q08043,0.3063875535671674,0.0031479957284008,0.8115608607072542
Q16581,0.2994983654698118,0.0029515994994698,0.7329052767335211
P17252,0.3060809955349036,0.0031420758529715,0.8954872105665651
P57105,0.3108337635789985,0.002976950774492,0.8668832073670297
P60468,0.5964057327238541,0.0030273858480536,0.8921150068335206
P06241,0.4096326005782836,0.0032152473682903,0.9142476218766878
Q9GZT8,0.5198678254500225,0.0029487210665018,0.7653678044555748
