node,biogrid_clustering_coefficient,string_clustering_coefficient,intact_clustering_coefficient
P13693,0.0181818181818181,0.2374723927310013,0.0181818181818181
Q9HAB8,0.0255255255255255,0.1988304967028371,0.0255255255255255
A5D8T8,0.1111111111111111,0.1195410657294065,0.1111111111111111
Q9UBG3,0.0033670033670033,0.1268662489363348,0.0033670033670033
Q5U5Z8,0.0,0.1151845790143662,0.0
Q5JR12,0.0,0.1180124223602484,0.0
Q9Y266,0.043859649122807,0.2482860972807353,0.043859649122807
Q9H2J4,0.0383673469387755,0.2005827972214527,0.0383673469387755
O43760,0.0638297872340425,0.139824840362434,0.0638297872340425
Q8WZ73,0.0454545454545454,0.124860646599777,0.0454545454545454
Q9UK00,0.0077433628318584,0.1232895271643408,0.0077433628318584
Q96CG8,0.106060606060606,0.1774776818479029,0.106060606060606
P56693,0.0,0.2051341490615938,0.0
Q92785,0.3703703703703703,0.2359752992105933,0.3703703703703703
Q96DU3,0.0,0.3882805611222445,0.0
Q9BYR6,0.0,0.1635525764558022,0.0
Q96MV8,0.0,0.1513843101788371,0.0
Q969P6,0.0,0.2281001751985984,0.0
P01215,0.0043290043290043,0.1570489305265534,0.0043290043290043
P0DML3,0.1333333333333333,0.2209774817991986,0.1333333333333333
O43933,0.0693602693602693,0.2117049380207274,0.0693602693602693
Q9NS28,0.0,0.2116591487019596,0.0
Q14686,0.3894736842105263,0.1942286192091245,0.3894736842105263
O15503,0.0,0.1624358165229112,0.0
P15313,0.0883116883116883,0.1614695335941019,0.0883116883116883
Q05682,0.0909090909090909,0.1975058873902804,0.0909090909090909
Q8NEG5,0.2,0.3230406488729604,0.2
Q6NXT1,0.0181818181818181,0.2382444889779559,0.0181818181818181
Q92781,0.0,0.1208922949368648,0.0
A2VCK2,0.0,0.1873385012919896,0.0
Q4VC05,0.1932624113475177,0.1519542030282688,0.1932624113475177
Q96QE4,0.0,0.095637323396988,0.0
Q9NZB8,0.0066666666666666,0.1323575895004466,0.0066666666666666
Q53FT3,0.0757575757575757,0.2049358690844759,0.0757575757575757
Q9UKP3,0.0,0.1913345062845714,0.0
Q9Y3S2,0.0323463304993648,0.0920551423907128,0.0323463304993648
KRTAP4-7,0.0,0.1712602566799916,0.0
Q8TF30,0.0,0.1892305589722563,0.0
Q8N7F7,0.0,0.1876646078336261,0.0
Q6P4A8,0.01806684733514,0.1244522805216446,0.01806684733514
Q5VTD9,0.0,0.1891505932975695,0.0
Q9UEW3,0.0,0.3616614703811727,0.0
Q8TAL6,0.0381913959613696,0.1156158460036267,0.0381913959613696
Q8TDV0,0.0666666666666666,0.1501599715606114,0.0666666666666666
Q9BYI3,0.0476190476190476,0.0887560867640548,0.0476190476190476
Q6P2Q9,0.0702630702630702,0.1884211403843901,0.0702630702630702
Q6UVY6,0.032183908045977,0.1183842763464363,0.032183908045977
Q499Z4,0.3333333333333333,0.1392405063291139,0.3333333333333333
Q02094,0.0,0.1354131478721642,0.0
Q9C0E8,0.2250947579203318,0.0962043714014198,0.2250947579203318
Q9P0P0,0.011611030478955,0.2013368345667223,0.011611030478955
P58304,0.1363636363636363,0.2150464565112523,0.1363636363636363
Q7L2Z9,0.0675990675990676,0.4494384561498655,0.0675990675990676
P45378,0.0151515151515151,0.2034282627859221,0.0151515151515151
P10243,0.8,0.1675103614161786,0.8
P04629,0.02170188463735,0.1813750599563789,0.02170188463735
Q6PCB7,0.0473684210526315,0.1957284407149291,0.0473684210526315
Q8NET5,0.0,0.3200006259487035,0.0
Q9NRQ2,0.0222222222222222,0.0849306811332127,0.0222222222222222
Q14990,0.0879120879120879,0.1169597615499254,0.0879120879120879
Q02487,0.1103951890034364,0.1425526945758159,0.1103951890034364
Q13422,0.0439024390243902,0.1984281882827686,0.0439024390243902
Q96DZ5,0.0,0.2098006452146579,0.0
O60238,0.261437908496732,0.2191595807415016,0.261437908496732
Q6PD74,0.0428571428571428,0.1300813008130081,0.0428571428571428
Q12772,0.0245470485096434,0.1926193801639322,0.0245470485096434
Q9BPZ2,0.0733333333333333,0.1852257181942544,0.0733333333333333
